	from_airport	to_airport	profit	duration
0	1	2	1088	5
1	1	3	2359	7
2	1	4	3484	4
3	1	5	3300	10
4	1	6	4451	6
5	1	7	3566	11
6	1	8	2080	9
7	2	1	2259	22
8	2	3	2303	15
9	2	4	2092	6
10	2	5	1221	21
11	2	6	4866	1
12	2	7	2385	4
13	2	8	2820	17
14	3	1	1320	11
15	3	2	2242	15
16	3	4	2346	6
17	3	5	2016	8
18	3	6	2763	1
19	3	7	2119	11
20	3	8	2660	6
21	4	1	4705	18
22	4	2	4596	15
23	4	3	3730	10
24	4	5	1492	24
25	4	6	3268	17
26	4	7	4299	17
27	4	8	3742	2
28	5	1	4748	13
29	5	2	1714	11
30	5	3	4852	18
31	5	4	3887	9
32	5	6	4950	3
33	5	7	1006	3
34	5	8	4277	2
35	6	1	3245	15
36	6	2	1138	6
37	6	3	3127	22
38	6	4	4920	13
39	6	5	2552	20
40	6	7	1008	20
41	6	8	2016	8
42	7	1	3677	8
43	7	2	1352	17
44	7	3	1694	18
45	7	4	3881	10
46	7	5	3422	9
47	7	6	1618	22
48	7	8	4129	20
49	8	1	4640	24
50	8	2	3741	16
51	8	3	3699	15
52	8	4	4873	22
53	8	5	4112	18
54	8	6	4343	9
55	8	7	2704	12
